sample_id,state,district,location_name,elevation_m,slope_deg,aspect_deg,profile_curvature,plan_curvature,topographic_wetness_index,dist_to_fault_m,dist_to_drainage_m,lithology_code,lulc_code,rainfall_24h_mm,rainfall_72h_antecedent_mm,rainfall_intensity_mm_h,soil_moisture_pct,pore_water_pressure_kpa,tilt_rate_mm_h,failure_probability,landslide_occurred
NER-SIM-00044,Meghalaya,South West Khasi Hills,Mawsynram Valley Slopes,1458.1,37.26,154.0,-0.0368,0.0351,9.29,846.4,282.2,1,1,16.1,13.8,1.8,33.9,0.0,0.075,0.1634,0
NER-SIM-00045,Sikkim,Mangan,North Sikkim Highway (Chungthang),1708.3,30.67,104.5,-0.0363,0.065,5.12,4517.6,212.2,5,3,12.2,21.3,1.15,32.7,2.6,0.0,0.1212,0
NER-SIM-00046,Tripura,North Tripura,Jampui Hills Ridge Corridor,839.8,30.42,132.0,-0.0033,0.0585,6.95,2725.3,70.0,1,1,0.4,0.5,0.04,29.5,0.64,0.068,0.0437,0
NER-SIM-00047,Assam,Dima Hasao,NH-27 Lumding-Haflong Hill Cut,278.6,36.0,133.4,-0.0473,0.0676,7.86,2.9,694.2,1,2,7.7,11.0,0.75,36.7,0.0,0.008,0.1363,0
NER-SIM-00048,Mizoram,Champhai,Champhai-Zokhawthar Border Cut,1337.5,30.45,238.8,-0.011,0.0151,7.04,690.9,264.6,2,1,109.5,295.4,19.37,86.9,34.71,0.057,0.8252,1
NER-SIM-00049,Manipur,Noney,Tupul Railway Corridor Section,744.9,46.67,311.6,-0.0032,-0.0105,3.77,504.2,101.9,3,2,48.2,148.0,11.95,80.6,19.78,0.044,0.5909,1
NER-SIM-00050,Manipur,Chandel,NH-102 Imphal-Moreh Corridor,907.6,18.94,183.7,0.0148,0.0925,6.61,386.2,296.9,4,1,131.4,332.9,33.78,80.5,13.87,0.05,0.7186,1
NER-SIM-00051,Manipur,Chandel,NH-102 Imphal-Moreh Corridor,1048.7,20.28,340.0,-0.0592,0.0821,3.8,1657.6,561.9,3,2,94.3,185.4,19.97,72.3,2.6,0.005,0.3872,0
NER-SIM-00052,Nagaland,Kohima,NH-29 Dimapur-Kohima By-pass,1074.5,36.37,187.9,0.0703,0.0162,6.94,99.4,132.2,2,3,57.7,109.5,11.87,56.0,2.94,0.0,0.3352,0
NER-SIM-00053,Meghalaya,South West Khasi Hills,Mawsynram Valley Slopes,1747.7,29.91,152.3,0.0321,0.0331,3.32,26.7,52.8,3,1,45.6,134.4,10.84,65.8,0.02,0.0,0.3107,0
NER-SIM-00054,Assam,Karbi Anglong,Diphu-Bokajan Escarpment,370.9,20.79,95.0,0.0198,0.0162,5.86,1074.4,607.2,1,2,33.4,61.0,7.3,54.8,2.53,0.094,0.1081,0
NER-SIM-00055,Assam,Karbi Anglong,Diphu-Bokajan Escarpment,502.2,35.6,325.9,0.0034,0.074,5.32,1425.1,27.9,1,1,21.1,33.1,2.12,42.9,1.94,0.021,0.1949,0
NER-SIM-00056,Sikkim,Pakyong,NH-10 Sevoke-Gangtok Corridor,1083.5,34.74,95.4,0.0494,-0.1001,4.08,2834.3,287.4,3,3,6.6,11.4,0.69,33.0,0.51,0.008,0.0884,0
NER-SIM-00057,Arunachal Pradesh,West Kameng,Bhalukpong-Bomdila-Tawang Route,1941.3,29.49,284.1,0.0117,0.085,4.64,22.8,278.0,4,2,113.3,295.1,19.31,75.2,6.05,0.068,0.8492,1
NER-SIM-00058,Nagaland,Kohima,NH-29 Dimapur-Kohima By-pass,1173.0,36.27,332.4,-0.0152,-0.0345,6.0,168.5,63.6,2,3,108.6,271.9,17.77,88.6,39.64,5.211,0.947,1
NER-SIM-00059,Manipur,Chandel,NH-102 Imphal-Moreh Corridor,1241.6,32.89,34.4,0.0343,0.0861,5.63,392.4,142.1,3,3,9.9,8.4,0.88,27.9,0.67,0.011,0.1288,0
NER-SIM-00060,Manipur,Noney,Tupul Railway Corridor Section,978.7,37.65,138.7,-0.0612,-0.0231,5.87,558.6,232.4,3,3,7.7,9.0,0.73,36.3,1.95,0.0,0.1209,0
NER-SIM-00061,Mizoram,Champhai,Champhai-Zokhawthar Border Cut,1312.7,31.68,190.4,-0.0089,0.0031,6.8,274.5,20.7,1,2,13.0,15.6,1.31,43.2,2.88,0.046,0.1469,0
NER-SIM-00062,Manipur,Chandel,NH-102 Imphal-Moreh Corridor,1215.9,24.78,74.7,0.0091,0.0208,4.78,1004.5,486.1,1,1,23.5,25.8,1.6,36.5,0.0,0.031,0.0434,0
NER-SIM-00063,Meghalaya,South West Khasi Hills,Mawsynram Valley Slopes,1172.5,43.86,354.9,0.0039,-0.0185,6.03,210.0,182.1,1,4,0.7,0.5,0.11,28.0,2.83,0.0,0.1114,0
NER-SIM-00064,Tripura,North Tripura,Jampui Hills Ridge Corridor,854.4,31.49,186.9,0.0282,0.0085,4.31,64.1,152.7,1,1,9.9,14.7,1.29,42.0,1.04,0.072,0.0695,0
NER-SIM-00065,Assam,Dima Hasao,NH-27 Lumding-Haflong Hill Cut,597.8,42.02,40.9,-0.0353,-0.0367,3.67,251.6,480.9,1,1,163.8,306.5,22.24,86.1,24.57,2.865,0.8783,1
NER-SIM-00066,Meghalaya,East Khasi Hills,NH-6 Shillong-Tamabil Highway,1347.7,43.06,278.3,-0.0505,0.0153,4.34,607.7,247.7,2,3,14.7,17.0,1.18,38.6,0.0,0.034,0.2728,0
NER-SIM-00067,Mizoram,Champhai,Champhai-Zokhawthar Border Cut,1444.0,26.29,53.9,-0.028,0.0181,7.9,38.7,20.8,1,4,35.6,70.6,5.03,46.5,1.86,0.07,0.2224,0
NER-SIM-00068,Meghalaya,South West Khasi Hills,Mawsynram Valley Slopes,1451.8,35.59,359.4,-0.0441,-0.0373,3.55,948.3,26.5,2,4,180.5,379.8,29.7,79.8,20.22,0.035,0.8787,1
NER-SIM-00069,Sikkim,Mangan,North Sikkim Highway (Chungthang),2330.4,52.03,30.4,0.0288,-0.0502,5.75,1480.9,43.4,4,2,37.6,41.9,3.03,58.2,4.08,0.04,0.3646,0
NER-SIM-00070,Assam,Karbi Anglong,Diphu-Bokajan Escarpment,671.9,34.98,338.4,0.0017,0.015,6.03,771.7,170.8,1,3,17.8,28.6,1.86,51.9,2.81,0.181,0.1175,0
NER-SIM-00071,Manipur,Chandel,NH-102 Imphal-Moreh Corridor,777.7,33.35,21.2,0.0975,-0.0334,6.69,43.5,600.4,2,2,1.5,0.8,0.24,34.7,2.96,0.051,0.0756,0
NER-SIM-00072,Nagaland,Kohima,NH-29 Dimapur-Kohima By-pass,1137.9,27.98,275.8,-0.0013,0.0108,6.51,506.2,49.4,2,1,13.8,23.9,1.56,30.6,3.68,0.11,0.078,0
NER-SIM-00073,Assam,Dima Hasao,NH-27 Lumding-Haflong Hill Cut,823.0,41.95,268.1,-0.0451,0.0434,3.64,163.4,228.7,1,1,1.2,1.5,0.16,46.4,2.59,0.035,0.1252,0
NER-SIM-00074,Sikkim,Mangan,North Sikkim Highway (Chungthang),1740.1,40.97,81.0,0.0704,-0.127,5.92,808.9,81.7,5,2,86.1,224.7,17.95,74.8,3.92,0.053,0.7436,1
NER-SIM-00075,Manipur,Noney,Tupul Railway Corridor Section,754.6,33.72,268.8,-0.0094,-0.0222,6.95,467.2,482.8,3,4,271.2,749.1,72.25,80.2,20.28,0.06,0.9934,1
NER-SIM-00076,Assam,Karbi Anglong,Diphu-Bokajan Escarpment,436.8,30.9,64.9,-0.0474,0.1512,4.45,579.6,174.4,1,1,166.7,485.7,34.3,91.0,42.1,0.091,0.9543,1
NER-SIM-00077,Meghalaya,East Khasi Hills,NH-6 Shillong-Tamabil Highway,1286.3,33.21,113.3,0.0015,-0.0125,2.29,628.1,105.2,1,2,51.0,133.2,8.09,67.1,0.28,0.054,0.2072,0
NER-SIM-00078,Nagaland,Phek,Phek-Meluri Road Corridor,1393.2,29.99,151.5,-0.0181,-0.0224,8.53,34.7,59.9,2,3,5.0,8.4,0.59,36.3,3.1,0.0,0.1496,0
NER-SIM-00079,Arunachal Pradesh,West Kameng,Bhalukpong-Bomdila-Tawang Route,1915.9,56.17,298.3,-0.1101,-0.0757,3.31,4111.2,196.4,5,1,2.9,2.5,0.27,33.9,2.92,0.0,0.2422,0
NER-SIM-00080,Manipur,Noney,Tupul Railway Corridor Section,865.6,49.25,172.4,-0.0462,-0.0581,4.44,60.8,587.9,2,2,69.2,125.8,10.2,74.1,1.2,0.06,0.5353,1
NER-SIM-00081,Tripura,North Tripura,Jampui Hills Ridge Corridor,225.6,39.43,108.1,0.0373,-0.0376,4.6,644.7,13.6,1,3,2.9,3.5,0.23,31.7,0.49,0.079,0.1637,0
NER-SIM-00082,Assam,Dima Hasao,NH-27 Lumding-Haflong Hill Cut,402.4,31.49,173.3,-0.0027,-0.0828,6.27,986.8,53.9,2,1,148.3,312.1,33.91,67.1,1.94,0.009,0.7142,1
NER-SIM-00083,Nagaland,Kohima,NH-29 Dimapur-Kohima By-pass,1130.6,37.39,0.6,0.07,0.0003,3.86,1364.6,380.3,3,3,1.8,1.5,0.14,36.7,2.57,0.048,0.1617,0
NER-SIM-00084,Mizoram,Aizawl,Aizawl-Lunglei Road Slopes,995.8,44.89,109.2,-0.0006,-0.0157,8.05,2263.7,112.3,1,1,2.0,2.8,0.15,32.6,3.14,0.066,0.079,0
NER-SIM-00085,Arunachal Pradesh,Lower Subansiri,Ziro Foothill Section,1539.5,34.45,231.8,0.003,-0.0321,7.78,1233.1,193.9,3,4,3.2,3.0,0.34,27.5,1.28,0.0,0.0676,0
NER-SIM-00086,Manipur,Noney,Tupul Railway Corridor Section,694.9,27.1,308.6,-0.0654,0.0398,4.78,445.4,204.2,2,2,79.1,192.6,15.12,80.5,17.83,0.044,0.5146,1
NER-SIM-00087,Sikkim,Mangan,North Sikkim Highway (Chungthang),1365.3,35.55,70.3,-0.0069,0.0037,6.71,610.2,405.2,5,1,155.5,291.6,38.84,80.0,15.17,0.062,0.7584,1
NER-SIM-00088,Meghalaya,East Khasi Hills,NH-6 Shillong-Tamabil Highway,1672.6,40.46,111.6,-0.0926,-0.0483,5.61,184.6,71.7,1,4,2.8,3.5,0.38,31.7,2.54,0.121,0.1679,0
NER-SIM-00089,Manipur,Chandel,NH-102 Imphal-Moreh Corridor,1039.9,33.7,291.9,-0.0628,0.0322,4.2,74.3,376.6,3,1,103.9,310.4,13.46,82.7,28.08,2.05,0.8612,1
NER-SIM-00090,Mizoram,Aizawl,Aizawl-Lunglei Road Slopes,1411.1,39.9,169.8,-0.1219,-0.0239,5.95,731.6,125.1,2,2,4.9,8.6,0.49,26.9,1.31,0.084,0.1801,0
NER-SIM-00091,Assam,Dima Hasao,NH-27 Lumding-Haflong Hill Cut,810.0,30.66,124.7,0.0182,0.0379,6.85,5120.8,190.6,1,1,10.5,7.3,1.04,36.1,2.28,0.008,0.071,0
NER-SIM-00092,Mizoram,Aizawl,Aizawl-Lunglei Road Slopes,865.0,33.54,93.3,0.0995,-0.0211,4.32,1649.8,147.7,1,4,2.5,1.4,0.35,35.8,3.27,0.124,0.0594,0
NER-SIM-00093,Mizoram,Aizawl,Aizawl-Lunglei Road Slopes,1015.1,43.3,13.1,-0.0517,-0.088,2.19,181.2,173.8,2,2,71.8,86.8,7.38,65.8,1.08,0.085,0.4351,0
NER-SIM-00094,Meghalaya,South West Khasi Hills,Mawsynram Valley Slopes,1289.4,28.32,182.6,-0.0383,0.0085,5.38,1025.8,25.6,2,3,88.6,133.8,26.26,62.8,0.0,0.036,0.5081,1
NER-SIM-00095,Mizoram,Champhai,Champhai-Zokhawthar Border Cut,1176.3,53.17,329.9,0.0652,0.0398,6.53,895.9,428.5,1,3,0.6,0.5,0.04,37.4,3.2,0.012,0.1232,0
NER-SIM-00096,Meghalaya,East Khasi Hills,NH-6 Shillong-Tamabil Highway,1903.5,32.81,157.3,-0.0311,-0.0325,4.31,1584.7,1234.3,1,2,60.4,70.9,4.98,52.0,2.54,0.079,0.1443,0
NER-SIM-00097,Nagaland,Phek,Phek-Meluri Road Corridor,1919.8,36.06,194.6,-0.0245,-0.0906,5.52,981.0,427.2,3,2,128.6,391.5,21.54,74.7,1.12,0.115,0.8582,1
NER-SIM-00098,Manipur,Noney,Tupul Railway Corridor Section,730.5,41.3,3.9,-0.1373,-0.0453,4.62,1108.9,281.0,3,2,113.2,196.0,16.45,93.5,46.91,0.233,0.7806,1
NER-SIM-00099,Arunachal Pradesh,Lower Subansiri,Ziro Foothill Section,1775.0,37.51,226.9,-0.0135,-0.0056,4.84,683.0,212.7,4,3,45.2,101.9,7.32,63.5,0.0,0.121,0.3502,0
NER-SIM-00100,Nagaland,Kohima,NH-29 Dimapur-Kohima By-pass,1442.1,40.84,79.9,-0.0273,0.009,9.02,66.8,103.7,3,1,3.5,2.2,0.28,36.8,0.0,0.036,0.1574,0
NER-SIM-00101,Mizoram,Aizawl,Aizawl-Lunglei Road Slopes,1090.7,42.72,173.1,-0.0653,-0.0036,4.63,1295.7,184.5,1,1,7.6,9.5,0.55,49.3,2.87,0.0,0.0297,0
NER-SIM-00102,Nagaland,Kohima,NH-29 Dimapur-Kohima By-pass,1583.3,33.23,338.8,-0.044,0.0175,6.61,2510.0,212.6,3,1,1.7,1.6,0.21,47.3,1.09,0.027,0.0585,0
NER-SIM-00103,Mizoram,Aizawl,Aizawl-Lunglei Road Slopes,1166.8,33.91,90.3,-0.002,0.0087,2.0,2973.4,1534.6,2,4,59.9,144.1,8.56,67.1,1.32,0.04,0.2666,0
NER-SIM-00104,Sikkim,Pakyong,NH-10 Sevoke-Gangtok Corridor,627.5,27.47,85.6,-0.0544,-0.0406,3.38,661.8,216.4,3,3,104.5,200.0,25.0,79.7,17.78,0.075,0.6386,1
NER-SIM-00105,Manipur,Chandel,NH-102 Imphal-Moreh Corridor,956.1,27.43,114.1,0.1019,-0.0881,5.45,637.7,413.1,2,4,2.3,2.1,0.31,38.6,0.69,0.053,0.0363,0
NER-SIM-00106,Manipur,Chandel,NH-102 Imphal-Moreh Corridor,866.9,47.23,2.5,-0.0594,0.009,2.19,3201.6,112.0,2,2,126.5,332.4,18.51,76.2,10.43,0.036,0.85,1
NER-SIM-00107,Manipur,Chandel,NH-102 Imphal-Moreh Corridor,1348.2,28.63,84.6,0.028,-0.0734,4.06,343.7,93.6,2,2,5.0,8.5,0.37,37.6,2.04,0.057,0.1968,0
NER-SIM-00108,Arunachal Pradesh,Lower Subansiri,Ziro Foothill Section,1860.1,37.28,213.1,-0.0256,-0.0047,3.85,101.7,355.5,3,1,2.1,3.5,0.17,41.7,1.49,0.083,0.1051,0
NER-SIM-00109,Assam,Karbi Anglong,Diphu-Bokajan Escarpment,121.2,14.68,82.7,0.0598,0.0161,9.07,797.2,287.7,1,1,2.8,3.4,0.26,25.8,3.05,0.012,0.0374,0
NER-SIM-00110,Manipur,Noney,Tupul Railway Corridor Section,689.6,36.88,331.9,-0.0081,0.0945,7.13,137.7,388.6,3,1,4.8,8.6,0.61,49.5,2.12,0.0,0.1269,0
NER-SIM-00111,Meghalaya,East Khasi Hills,NH-6 Shillong-Tamabil Highway,1274.0,26.69,150.0,0.0127,-0.0244,4.89,893.6,103.5,1,1,8.3,7.8,0.89,20.5,1.33,0.025,0.0528,0
NER-SIM-00112,Manipur,Chandel,NH-102 Imphal-Moreh Corridor,1090.4,39.01,202.8,0.0293,0.0098,2.31,577.8,141.3,3,1,21.5,15.6,1.87,38.5,1.15,0.023,0.1357,0
NER-SIM-00113,Arunachal Pradesh,West Kameng,Bhalukpong-Bomdila-Tawang Route,2469.4,39.25,19.4,0.0025,-0.0446,4.47,1110.0,152.9,5,1,2.3,3.9,0.16,37.8,3.17,0.0,0.0653,0
NER-SIM-00114,Assam,Dima Hasao,NH-27 Lumding-Haflong Hill Cut,1168.6,35.81,14.4,-0.0467,-0.0255,3.35,779.2,161.0,1,1,9.9,11.1,0.7,36.8,3.24,0.0,0.1032,0
NER-SIM-00115,Assam,Karbi Anglong,Diphu-Bokajan Escarpment,655.1,36.02,1.3,0.0507,-0.0736,6.19,1788.4,10.3,1,3,25.9,38.0,3.63,38.4,0.43,0.05,0.2331,0
NER-SIM-00116,Arunachal Pradesh,West Kameng,Bhalukpong-Bomdila-Tawang Route,2304.8,43.19,17.5,-0.0365,0.0016,4.52,1430.1,543.1,5,1,0.8,1.2,0.12,33.5,2.54,0.0,0.1144,0
NER-SIM-00117,Sikkim,Pakyong,NH-10 Sevoke-Gangtok Corridor,930.8,47.76,243.0,-0.0024,0.0957,3.76,1284.2,797.3,4,1,59.4,106.2,19.16,60.2,3.07,0.102,0.232,0
NER-SIM-00118,Nagaland,Kohima,NH-29 Dimapur-Kohima By-pass,1216.5,22.51,346.6,0.0152,0.024,4.19,639.0,15.1,2,1,49.0,82.1,9.07,61.8,1.8,0.051,0.1391,0
NER-SIM-00119,Nagaland,Phek,Phek-Meluri Road Corridor,1872.5,32.96,329.6,0.0304,-0.0094,5.01,1275.5,26.8,3,2,8.2,7.2,0.94,37.8,0.0,0.037,0.1082,0
NER-SIM-00120,Sikkim,Mangan,North Sikkim Highway (Chungthang),1672.4,55.85,295.9,0.0687,0.0132,3.65,5290.1,730.8,5,3,3.2,2.4,0.27,32.1,2.7,0.043,0.0948,0
NER-SIM-00121,Assam,Dima Hasao,NH-27 Lumding-Haflong Hill Cut,628.8,41.63,313.1,0.0056,0.0793,3.53,266.4,1583.6,1,2,8.5,12.2,1.12,34.2,2.74,0.025,0.0547,0
NER-SIM-00122,Manipur,Noney,Tupul Railway Corridor Section,806.7,27.16,40.4,0.0088,-0.0453,4.78,4003.3,174.4,3,4,35.0,44.0,2.35,58.4,1.72,0.135,0.1543,0
NER-SIM-00123,Arunachal Pradesh,Lower Subansiri,Ziro Foothill Section,1114.8,25.67,120.8,-0.004,-0.003,10.44,570.5,98.9,4,1,99.8,216.8,31.18,92.0,40.16,0.087,0.7325,1
