elevation_m,slope_deg,aspect_deg,profile_curvature,plan_curvature,topographic_wetness_index,dist_to_fault_m,dist_to_drainage_m,rainfall_24h_mm,rainfall_72h_antecedent_mm,rainfall_intensity_mm_h,soil_moisture_pct,pore_water_pressure_kpa,tilt_rate_mm_h,lithology_code,lulc_code,landslide_occurred
1639.3,33.63,115.2,-0.0303,0.0152,4.39,909.1,48.3,210.5,623.7,30.76,79.3,13.14,0.028,3,3,1
1131.8,36.49,273.2,0.0359,0.0416,2.07,1178.1,98.4,8.8,11.1,0.63,47.2,0.97,0.062,3,1,0
1848.3,18.58,225.7,0.0951,-0.0298,5.44,6594.8,353.0,26.5,14.0,3.2,31.9,2.12,0.017,4,4,0
859.3,28.57,335.0,-0.0379,-0.0082,7.08,581.6,34.5,2.8,2.3,0.27,34.2,2.53,0.105,1,1,0
1737.0,34.51,81.2,0.037,-0.0235,3.53,122.7,616.8,2.3,2.4,0.16,37.3,2.21,0.0,4,3,0
1478.4,23.59,264.2,-0.0676,0.0021,7.93,816.7,42.3,70.9,198.8,10.67,75.0,7.55,0.001,1,2,1
1121.2,45.36,358.0,-0.0478,0.0198,3.88,1823.7,119.2,3.1,2.8,0.47,31.7,2.99,0.044,3,1,0
1194.0,20.41,274.8,-0.085,-0.0042,7.33,133.9,89.4,111.1,242.1,14.0,82.9,23.98,0.021,2,2,1
682.1,26.23,223.1,0.0273,0.0294,5.27,1039.6,704.5,75.5,123.8,10.9,72.5,0.62,0.039,1,1,0
1728.2,49.25,147.3,0.0773,0.0606,6.99,73.8,335.0,32.0,59.8,9.26,44.7,3.69,0.101,4,2,0
2171.1,30.66,336.4,0.1077,-0.0156,6.7,4143.4,170.6,4.3,7.0,0.46,31.6,1.89,0.009,4,3,0
1732.5,39.55,60.1,0.0353,-0.018,4.48,403.1,906.9,2.6,1.3,0.24,26.9,0.31,0.033,2,1,0
1145.3,31.87,167.5,-0.065,0.0101,8.88,214.5,2.7,13.4,21.4,1.83,44.9,0.93,0.004,3,2,0
802.2,48.53,339.8,-0.0244,-0.0715,7.83,96.2,252.9,0.1,0.0,0.01,41.4,3.39,0.067,3,3,0
2018.0,50.17,332.3,-0.0227,-0.0062,2.71,19.8,166.8,23.3,25.7,2.88,36.9,2.17,0.063,5,2,0
1392.0,44.5,159.1,-0.0679,-0.094,5.13,574.9,867.0,122.7,274.0,18.38,84.6,32.37,6.293,3,3,1
1414.6,41.86,3.1,-0.0343,0.0038,2.07,6030.1,557.8,0.2,0.4,0.02,31.1,4.08,0.053,2,4,0
662.2,28.8,275.9,0.0169,0.0166,7.88,2505.3,378.4,17.1,24.0,2.7,37.8,0.6,0.031,1,3,0
1265.3,28.42,30.1,-0.0227,0.0103,6.09,1281.2,1679.8,30.6,25.6,2.27,39.6,3.04,0.079,2,2,0
675.0,35.49,108.2,-0.079,-0.0415,4.17,2508.5,711.4,97.5,156.1,19.4,85.5,29.57,2.07,2,4,1
1566.3,35.37,289.0,-0.0429,0.0247,5.46,1236.7,152.7,117.2,334.3,32.18,77.1,11.47,0.061,4,3,1
842.9,23.98,213.5,0.0252,-0.0177,7.24,1181.4,317.6,14.1,23.6,1.52,45.8,0.85,0.118,1,2,0
506.6,18.07,236.6,-0.0746,-0.0765,6.94,153.3,19.7,39.7,54.1,2.81,41.2,2.2,0.076,1,4,0
461.6,18.84,261.3,0.0897,0.1073,3.84,895.6,27.3,14.2,17.9,2.29,44.2,1.1,0.105,1,4,0
1347.8,50.7,298.5,0.0118,-0.0738,2.12,3122.0,152.0,1.5,0.9,0.12,36.2,0.0,0.049,2,2,0
1448.7,38.9,129.6,-0.0165,0.0253,2.76,1271.7,1237.0,4.9,6.7,0.37,34.8,2.76,0.029,3,2,0
1786.5,43.7,129.6,-0.038,0.0227,5.7,407.7,530.9,4.3,4.5,0.5,33.7,3.33,0.078,1,3,0
1220.5,41.74,275.8,-0.0111,0.0468,6.14,28.7,283.8,8.9,11.7,0.65,38.7,0.94,0.029,1,1,0
698.6,41.47,139.2,-0.0659,-0.052,4.67,745.5,1403.2,3.3,5.8,0.41,36.1,0.0,0.075,4,3,0
1581.8,36.1,64.7,0.0581,0.0079,3.91,691.2,517.3,88.6,137.7,19.87,65.6,0.35,0.064,3,1,0
1025.1,49.42,306.9,-0.1075,-0.0505,2.0,1005.7,942.5,13.8,20.3,1.5,55.0,2.91,0.112,2,2,0
1536.9,33.01,332.1,-0.0134,-0.0074,5.91,1577.8,215.2,149.4,438.7,31.75,82.9,19.2,0.281,1,1,1
2001.7,42.63,326.2,0.0545,-0.0081,5.63,151.7,99.1,0.6,0.3,0.06,35.2,2.86,0.086,4,4,0
420.3,21.52,258.0,-0.0283,0.0128,3.58,66.2,379.8,87.7,229.2,28.94,78.1,10.37,0.089,1,1,0
1250.2,35.81,201.0,-0.0236,0.0327,4.82,190.4,118.2,120.5,235.0,25.99,84.1,27.94,11.834,2,1,1
2331.3,35.89,12.4,0.0662,0.0189,5.62,1197.3,510.7,1.8,3.1,0.18,40.3,1.4,0.108,4,3,0
1685.9,28.89,108.5,0.0568,0.0065,5.39,385.4,67.9,2.7,2.6,0.22,34.5,0.0,0.076,2,2,0
1363.5,33.9,142.7,-0.0868,-0.0241,2.03,256.9,788.2,8.1,6.5,0.88,42.7,2.58,0.0,4,4,0
58.2,8.9,4.8,-0.0019,-0.0123,8.64,1287.2,73.5,17.5,29.2,2.6,46.3,1.53,0.079,2,1,0
1740.4,35.94,242.7,0.0971,-0.0346,2.0,133.0,592.8,15.8,23.0,2.18,44.5,1.8,0.043,5,2,0
1605.9,30.18,131.4,-0.0744,0.1271,6.52,686.0,80.2,75.5,227.0,11.39,80.7,18.71,0.0,2,1,1
1211.7,39.93,100.7,0.0424,-0.013,4.61,16.6,114.7,21.8,38.5,2.69,47.8,0.0,0.06,1,4,0
1560.6,39.51,97.4,-0.0683,-0.0264,2.94,1800.5,626.9,44.3,111.0,11.26,61.6,1.96,0.0,5,1,0
1956.1,31.48,358.5,-0.0407,0.0557,7.24,199.4,612.4,103.1,197.8,25.09,71.8,1.98,0.068,2,2,1
1494.0,36.8,212.7,-0.0506,-0.0673,5.32,3126.2,505.5,2.3,2.1,0.22,41.6,2.03,0.077,1,1,0
1575.9,36.55,246.3,0.0413,0.0258,6.73,534.2,449.1,21.4,16.6,3.42,44.7,2.06,0.096,4,3,0
1935.4,51.95,162.6,-0.0267,0.0607,2.96,728.2,702.1,28.7,84.6,9.38,51.0,3.51,0.057,1,3,0
2018.3,31.62,220.9,-0.0532,0.0481,5.4,333.8,33.6,3.2,3.9,0.32,36.1,1.7,0.054,5,3,0
1319.6,29.16,175.8,-0.0306,-0.016,5.98,4638.0,332.0,5.8,5.3,0.46,43.3,0.0,0.075,2,3,0
1059.9,32.55,290.6,-0.0041,-0.0258,2.09,37.1,22.2,0.1,0.1,0.01,37.7,1.1,0.017,1,1,0
2692.1,48.99,76.8,0.063,-0.0872,6.11,162.5,500.8,40.9,89.1,10.59,53.8,2.24,0.079,5,3,1
1637.2,29.13,79.0,-0.0247,0.0327,4.9,2359.2,250.6,24.5,14.6,1.67,33.2,1.15,0.091,2,2,0
1351.5,37.17,228.7,0.0373,-0.0147,4.92,356.7,236.5,42.7,119.1,10.79,67.8,0.0,0.003,2,3,0
620.2,29.07,244.1,-0.0128,0.0516,4.52,1214.9,1376.5,0.4,0.7,0.04,20.6,0.45,0.031,1,1,0
1206.8,44.89,238.7,-0.0172,0.036,5.14,1629.1,458.4,25.7,18.1,2.6,53.6,1.69,0.023,2,1,0
1548.7,38.71,54.6,0.0009,-0.0221,4.81,1039.0,459.9,7.3,7.6,0.6,36.0,5.23,0.009,1,4,0
1326.3,36.64,43.1,0.0118,-0.0313,4.68,609.9,6.5,1.2,1.0,0.12,29.9,1.72,0.035,2,3,0
1681.4,34.15,260.8,0.0851,-0.0161,4.2,1622.7,619.2,104.9,257.4,31.59,82.6,26.36,3.88,1,3,1
2086.0,45.06,228.6,0.0002,-0.0063,4.41,1420.7,592.9,64.6,98.2,12.88,61.7,0.72,0.0,3,2,0
389.6,29.34,241.5,-0.0592,-0.0576,5.55,133.0,156.3,90.4,284.0,13.71,78.2,7.99,0.0,1,1,1
1193.1,47.9,97.0,0.0356,0.0366,4.13,648.3,917.1,120.0,366.5,15.2,81.9,18.76,0.033,1,1,1
284.9,20.9,319.1,-0.0005,0.0576,9.16,507.2,784.5,6.7,9.8,0.61,39.3,1.82,0.023,1,1,0
936.0,37.87,42.2,-0.0071,-0.0347,4.59,255.3,106.8,2.5,4.0,0.28,43.8,0.15,0.0,1,1,0
659.6,27.79,80.9,0.0244,0.0436,6.59,362.3,295.2,1.9,2.1,0.21,33.9,1.79,0.049,1,1,0
592.7,28.5,248.7,0.0002,-0.0233,4.85,1201.7,477.4,2.5,3.3,0.29,45.1,6.26,0.076,2,3,0
1746.5,52.73,256.1,-0.006,0.0255,3.65,399.9,196.8,4.4,2.7,0.61,38.6,4.15,0.053,5,3,0
1450.7,44.73,294.6,0.0127,0.0286,6.96,71.5,69.1,75.6,189.8,15.54,82.4,20.63,2.702,4,3,1
1177.6,46.34,78.2,-0.0152,0.0674,2.24,166.8,370.5,14.3,13.9,1.45,38.5,3.64,0.064,3,4,0
1011.3,42.69,5.0,0.0541,0.0565,4.55,2057.4,126.2,12.2,7.7,1.25,38.9,2.59,0.01,2,4,0
729.6,27.84,154.6,-0.0865,0.1291,2.89,2132.0,175.8,89.0,276.8,11.5,81.0,18.07,0.077,4,3,1
653.6,39.82,150.0,0.0272,-0.039,4.23,130.1,130.5,18.8,10.1,2.72,36.9,3.01,0.0,1,2,0
1689.6,46.46,215.2,-0.0562,0.0366,5.95,1210.3,237.1,5.5,7.7,0.73,44.3,3.59,0.072,4,1,0
1490.7,40.81,187.4,-0.0488,-0.0272,5.29,226.1,186.4,28.7,49.7,4.17,38.4,2.52,0.043,2,3,0
1499.7,36.17,356.5,0.0529,-0.0399,5.38,1524.4,212.1,24.3,43.5,1.76,36.2,2.46,0.003,3,2,0
1916.1,40.14,129.5,0.0238,-0.0245,6.41,1661.2,91.0,5.1,8.9,0.76,28.6,2.95,0.0,3,1,0
1676.3,36.47,45.5,0.0686,-0.0908,6.24,2144.8,819.4,1.6,1.0,0.2,32.5,5.05,0.078,3,1,0
1044.8,38.42,70.8,-0.0132,0.0372,5.45,641.0,41.2,151.7,261.2,21.69,71.5,0.0,0.11,1,1,1
1025.7,44.58,208.1,0.012,0.0029,2.19,171.6,37.3,24.0,15.5,2.36,33.9,2.12,0.046,4,1,0
1961.6,36.06,175.0,0.0373,-0.045,5.22,4769.2,1215.9,10.6,17.5,3.15,20.7,0.72,0.043,2,1,0
869.5,17.17,179.9,0.0161,-0.0098,7.06,1611.7,202.9,7.8,5.1,0.76,39.6,1.01,0.041,3,1,0
1135.0,40.58,164.8,-0.0885,0.022,3.5,1499.8,440.7,68.4,215.6,16.42,77.6,13.29,0.056,3,2,1
1237.7,38.68,275.2,0.0389,0.0223,5.63,1145.6,313.1,13.1,16.6,0.98,41.5,3.03,0.03,1,2,0
1824.7,36.46,304.0,0.0186,-0.0836,5.91,1136.2,226.9,32.3,45.1,2.25,43.7,2.95,0.063,2,3,0
1253.2,45.21,317.8,0.0737,0.0232,3.84,76.7,11.7,7.9,14.1,0.79,40.3,4.78,0.109,1,1,0
708.8,44.87,219.1,0.0933,-0.0465,5.61,719.1,218.3,26.5,50.6,6.58,52.1,4.6,0.012,3,3,0
999.9,36.53,196.0,-0.0547,-0.0261,4.19,521.7,479.0,3.4,4.4,0.33,30.3,3.69,0.051,3,3,0
1762.4,29.65,51.1,0.0384,0.0446,6.15,918.3,432.3,94.7,294.8,11.89,68.5,1.7,0.056,4,1,1
1050.6,49.7,191.3,0.0291,-0.0987,3.06,1887.4,171.1,72.6,183.3,11.35,86.3,31.4,1.941,2,4,1
1516.7,29.09,314.9,-0.0625,-0.0077,5.52,506.9,497.0,47.9,33.3,5.68,44.9,4.63,0.039,3,2,0
1479.0,33.07,117.5,0.0374,0.0331,5.17,5765.1,308.2,17.4,17.4,1.34,44.9,4.34,0.048,4,4,0
662.6,34.81,86.1,0.0107,-0.0014,5.84,259.4,1102.7,2.7,2.3,0.25,40.1,1.23,0.105,3,1,0
436.8,30.9,64.9,-0.0474,0.1512,4.45,579.6,174.4,166.7,485.7,34.3,91.0,42.1,0.091,1,1,1
2003.4,46.14,117.4,-0.0332,0.0664,4.84,168.1,120.8,87.9,247.8,24.56,68.5,1.9,0.031,5,4,1
1488.3,30.91,11.6,-0.0857,0.0385,7.37,983.6,1161.2,5.6,3.5,0.48,35.7,2.92,0.051,2,3,0
1675.2,38.3,83.3,0.087,0.061,4.47,4376.7,9.0,38.2,42.2,3.74,44.0,1.75,0.044,1,4,0
882.5,21.21,148.0,0.0071,0.0351,5.48,316.5,381.9,2.9,2.0,0.23,32.9,1.12,0.022,1,2,0
1241.4,34.24,187.7,-0.025,0.0607,4.7,281.9,201.9,13.1,10.0,2.15,34.1,4.6,0.015,2,1,0
2140.3,34.94,51.2,-0.0368,-0.0093,6.48,2384.6,571.1,428.2,1115.6,66.81,79.4,20.86,0.109,5,1,1
1429.7,33.12,280.3,-0.0468,-0.0637,5.43,380.9,617.6,31.8,30.9,2.2,49.1,0.59,0.058,3,1,0
703.3,32.61,123.3,-0.0132,0.0538,4.72,443.2,111.8,9.1,13.8,1.33,30.2,2.26,0.045,2,4,0
1156.8,40.85,182.0,-0.1078,-0.0632,5.66,1616.5,358.2,11.8,16.9,1.18,41.1,0.0,0.052,3,4,0
967.3,58.58,252.8,-0.0331,0.0391,2.97,3190.8,30.7,252.3,751.6,80.0,84.3,19.23,1.206,1,1,1
1003.4,39.63,49.7,-0.0373,0.0587,3.54,2712.1,18.5,5.6,6.9,0.79,36.8,0.0,0.006,3,2,0
729.1,28.13,120.7,0.0326,0.0817,9.04,542.4,675.5,0.5,0.7,0.05,25.3,2.25,0.005,2,2,0
1173.9,39.08,80.6,0.0014,0.0493,4.12,50.0,463.7,9.3,10.7,0.66,40.3,2.17,0.087,2,2,0
765.1,28.64,48.6,0.0771,0.0075,3.49,846.3,32.0,250.7,576.4,54.33,81.6,18.76,0.015,1,2,1
763.0,49.16,167.6,0.0414,0.0647,7.57,214.5,887.4,5.1,8.8,0.42,33.2,4.05,0.033,2,1,0
1444.8,41.69,54.6,0.0013,0.0036,3.42,927.2,530.5,40.9,109.4,7.28,58.7,1.7,0.016,1,4,0
952.3,34.56,60.7,-0.0597,-0.068,4.4,1570.2,64.7,10.2,7.9,1.05,41.6,2.42,0.043,2,2,0
595.5,35.44,351.5,0.0169,-0.0902,6.14,156.2,452.5,7.3,11.9,0.99,39.2,4.0,0.017,1,1,0
1411.5,27.66,65.7,-0.0427,-0.0884,4.1,1112.8,1075.6,0.0,0.0,0.01,38.3,3.47,0.038,1,2,0
979.8,40.8,194.7,-0.0525,0.0375,3.4,1142.7,119.7,2.6,3.1,0.18,27.4,2.82,0.061,1,1,0
2069.8,29.46,19.2,0.0519,-0.0133,4.15,64.3,47.9,3.2,5.1,0.42,43.5,3.02,0.043,3,1,0
1054.0,34.95,103.6,-0.0515,-0.0244,5.96,643.2,3.2,10.8,10.8,0.75,30.9,0.86,0.02,1,2,0
2078.2,36.16,345.7,0.0228,-0.0732,3.91,536.6,829.1,9.7,10.5,0.71,37.8,2.33,0.05,1,3,0
1480.8,30.5,279.2,0.0224,0.0237,6.62,596.2,302.6,36.0,110.4,10.71,59.6,1.2,0.066,4,1,0
50.0,25.04,161.3,0.005,-0.0357,2.92,3073.5,256.5,20.9,10.8,1.69,53.3,1.63,0.083,1,1,0
562.6,26.7,338.7,-0.0656,-0.0027,5.57,722.1,468.1,2.6,4.5,0.24,41.3,0.46,0.0,1,2,0
1868.7,39.56,56.3,-0.0333,-0.0835,4.79,1058.7,55.9,1.7,2.6,0.12,37.3,1.33,0.0,4,3,0
1340.2,48.01,357.7,0.0007,0.0364,5.28,1706.9,137.8,49.4,88.6,6.66,56.9,3.14,0.1,2,2,0
1442.6,42.06,228.8,-0.0921,0.0413,2.57,568.5,212.9,8.8,10.3,0.83,34.3,2.44,0.085,3,1,0
653.1,31.62,279.6,-0.0223,-0.0087,3.81,2871.7,64.8,93.4,172.8,22.52,70.9,2.98,0.0,3,3,1
1149.1,39.99,4.5,-0.0051,-0.0458,3.66,140.3,283.9,3.9,3.9,0.49,38.1,4.45,0.085,4,4,0
2243.0,59.45,270.0,-0.0045,-0.03,6.03,345.2,88.4,15.5,22.6,1.26,37.4,0.17,0.109,5,4,0
1495.7,17.39,266.3,0.0347,-0.0267,7.31,124.8,63.9,91.9,184.0,12.4,86.3,28.16,0.075,1,3,1
2032.3,33.01,22.4,-0.0523,-0.0214,5.19,3448.1,10.3,4.5,7.8,0.47,43.7,2.62,0.019,3,2,0
779.1,32.76,69.4,0.0278,-0.0911,2.44,2720.5,21.4,70.8,120.1,12.11,70.7,4.32,0.094,3,3,0
1273.6,33.22,221.6,-0.0018,-0.0804,5.14,58.8,6.1,92.1,241.1,26.28,74.5,5.21,0.076,1,1,1
1555.0,24.23,269.9,0.0922,-0.1416,6.63,279.9,61.4,6.4,10.6,0.57,43.8,0.0,0.039,2,2,0
1281.3,28.28,333.2,0.0077,-0.0482,3.69,348.3,103.1,111.7,186.3,23.69,75.6,12.94,0.121,1,3,1
2006.1,52.11,71.7,0.0578,-0.0038,2.8,1602.4,264.6,8.6,6.6,0.97,35.3,1.02,0.032,4,1,0
1804.0,19.38,338.5,0.0796,0.0371,4.02,833.1,255.1,80.8,168.0,14.45,68.5,1.33,0.028,1,1,0
425.0,40.47,273.2,-0.0119,-0.0086,2.79,5197.5,139.1,1.2,1.8,0.08,30.3,1.26,0.123,1,1,0
1151.8,37.26,128.9,-0.0169,-0.0163,2.97,1231.8,406.9,50.6,119.1,7.59,65.2,5.14,0.068,2,1,0
1860.7,43.05,277.4,-0.0486,-0.0355,2.18,199.6,34.7,11.8,15.4,1.51,58.7,2.49,0.0,2,4,0
1234.4,55.42,276.1,0.0726,0.0195,6.2,1378.0,228.0,72.6,175.6,9.92,89.8,36.33,0.424,2,1,1
588.3,26.55,275.8,-0.0099,0.0466,6.32,1741.0,61.2,0.6,0.5,0.06,46.0,4.29,0.0,1,2,0
1306.9,29.62,147.8,-0.0808,0.0012,6.35,235.3,122.6,41.1,121.4,8.95,69.2,3.74,0.0,2,3,0
926.9,35.98,297.5,0.0483,0.0337,3.92,19.6,186.9,3.9,2.9,0.29,38.9,3.23,0.136,3,2,0
1188.1,19.14,255.1,-0.0155,-0.0215,6.0,1141.1,7.5,1.1,0.8,0.15,39.7,3.62,0.076,1,4,0
407.8,30.72,78.2,-0.0403,0.018,5.58,1622.6,183.1,0.6,0.3,0.05,32.4,1.39,0.025,1,3,0
1238.7,43.31,221.1,0.0128,0.0244,4.79,1173.6,574.3,35.6,63.6,5.59,44.6,2.41,0.005,2,3,0
890.6,34.16,12.1,0.0223,0.0156,7.25,181.9,283.3,11.9,14.5,1.97,36.8,0.53,0.009,3,3,0
1292.1,28.28,52.8,-0.0881,-0.0102,7.3,208.7,173.8,5.5,9.4,0.83,40.0,2.97,0.075,2,2,0
1705.9,32.52,191.7,0.1256,0.0343,7.42,603.9,800.7,6.2,9.8,0.76,40.2,0.31,0.077,3,2,0
1653.1,37.83,166.3,0.0256,0.0509,4.08,4048.7,256.2,47.7,50.3,4.39,50.4,2.93,0.072,3,2,0
1784.5,40.7,216.6,0.0024,-0.0469,6.16,482.1,217.9,25.1,21.4,1.71,41.2,1.55,0.104,3,1,0
1267.0,31.47,62.1,-0.0519,0.0631,4.66,485.5,704.0,58.5,169.1,8.88,74.8,0.34,0.018,3,1,0
1542.8,22.11,57.3,0.0964,0.0378,4.66,679.8,17.8,5.2,7.3,0.64,42.9,2.15,0.083,4,3,0
756.3,23.6,245.4,0.0346,-0.0095,3.26,167.6,1524.1,2.2,1.9,0.18,34.7,3.16,0.054,1,3,0
757.9,3.79,31.8,-0.0576,0.0602,7.04,1012.3,7.4,8.0,13.1,0.64,35.7,0.48,0.004,1,2,0
382.8,29.93,193.1,0.0114,-0.0823,4.6,357.3,263.3,14.7,7.4,2.36,30.4,1.34,0.0,1,2,0
1619.3,34.44,111.2,0.0473,0.0007,5.04,1654.7,291.6,141.4,445.6,24.02,81.9,15.65,0.064,1,3,1
770.5,16.2,17.2,-0.0677,0.0111,6.93,3284.3,125.9,36.7,73.9,7.98,47.8,1.55,0.044,2,1,0
1448.8,24.82,279.7,0.0345,0.0753,4.57,6679.0,54.5,3.5,5.9,0.25,30.7,4.58,0.0,1,1,0
1170.7,38.53,55.8,0.0625,0.0232,4.93,223.4,719.9,89.6,159.6,13.24,75.6,10.0,0.0,1,2,1
2071.4,42.57,180.6,0.0189,0.0097,3.5,1366.2,864.6,78.1,215.7,15.06,82.8,22.74,0.245,5,1,0
500.4,37.61,169.0,-0.0125,-0.0449,6.29,1437.0,31.6,48.7,107.6,14.47,55.5,2.6,0.014,2,1,0
1449.4,28.37,99.6,-0.0414,0.0475,3.81,965.1,434.0,5.4,5.5,0.73,39.7,2.33,0.0,3,4,0
169.2,33.9,207.6,0.0078,0.0715,6.36,449.6,916.6,2.7,3.1,0.36,42.2,1.54,0.053,1,2,0
1427.7,33.76,160.4,0.0116,-0.0052,4.27,742.8,429.2,164.9,305.4,24.62,74.7,3.18,0.067,3,3,1
1632.1,30.83,133.8,0.0237,-0.0027,5.56,77.7,625.8,51.9,128.2,12.42,63.9,2.61,0.004,4,2,0
1535.0,27.99,350.1,0.0152,0.0105,4.68,211.2,607.1,12.0,12.0,0.92,25.2,3.18,0.013,2,2,0
2069.1,35.35,338.8,0.0872,-0.0035,4.18,1312.2,353.6,1.0,0.8,0.08,51.9,1.63,0.094,5,1,0
2044.0,35.92,338.6,-0.1319,0.0558,6.66,437.5,27.2,4.5,5.5,0.36,39.9,0.85,0.0,3,3,0
496.5,17.57,56.7,0.0151,-0.0682,5.78,642.3,101.1,13.3,18.0,1.76,34.8,1.23,0.069,2,1,0
1638.4,28.29,326.5,0.0162,0.0204,6.92,751.5,113.0,6.1,9.2,0.83,38.8,2.15,0.0,3,2,0
679.5,21.17,97.2,-0.0998,-0.0154,8.26,1853.3,49.6,158.2,238.3,34.49,76.4,7.37,0.02,1,4,1
629.2,31.01,13.6,-0.0311,-0.0896,3.93,476.3,275.1,56.3,92.9,9.2,58.1,3.2,0.083,1,1,0
1688.0,39.17,51.8,-0.0213,0.0853,3.32,1662.9,920.6,131.9,259.7,16.71,91.2,33.66,4.175,2,4,1
1403.5,36.46,236.0,-0.0206,-0.0471,5.1,269.3,144.0,2.9,5.1,0.23,25.3,2.13,0.02,2,2,0
926.1,39.46,34.1,0.0228,-0.0348,5.81,769.8,216.4,147.2,313.9,46.38,82.5,22.92,5.191,2,2,1
2014.6,30.79,81.9,-0.0459,-0.0015,4.58,2730.5,227.1,18.0,15.3,1.36,33.8,2.17,0.136,3,3,0
1520.3,34.12,327.5,-0.0267,0.0313,6.8,135.9,28.1,33.3,63.6,8.25,36.8,3.22,0.023,2,3,0
1660.9,27.21,148.9,0.0808,-0.0045,4.14,192.3,195.2,1.7,1.4,0.11,30.5,3.66,0.024,4,1,0
